rowid	id_loan	id_direct_loantaker	name_direct_loantaker	id_intermediate_parent_1	name_intermediate_parent_1	id_ultimate_parent	name_ultimate_parent	loan_size_outstanding	loan_size_outstanding_currency	loan_size_credit_limit	loan_size_credit_limit_currency	sector_classification_system	sector_classification_input_type	sector_classification_direct_loantaker	fi_type	flag_project_finance_loan	name_project	lei_direct_loantaker	isin_direct_loantaker	chunk	id_2dii	level	sector	sector_ald	name	name_ald	score	source
9	L116	C60	Hamayu Kaiun	NA	NA	UP42	Carten Shipping As	246041	EUR	19172481	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL11	direct_loantaker	shipping	shipping	Hamayu Kaiun	hamayu kaiun	1	loanbook
9	L116	C60	Hamayu Kaiun	NA	NA	UP42	Carten Shipping As	246041	EUR	19172481	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP8	ultimate_parent	shipping	shipping	Carten Shipping As	carten shipping as	1	loanbook
10	L117	C61	Hamburg Sud Italia Srl	NA	NA	UP244	Shanghai Dingheng Shpg Co Ltd	391737	EUR	20625987	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL12	direct_loantaker	shipping	shipping	Hamburg Sud Italia Srl	hamburg sud italia srl	1	loanbook
10	L117	C61	Hamburg Sud Italia Srl	NA	NA	UP244	Shanghai Dingheng Shpg Co Ltd	391737	EUR	20625987	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP75	ultimate_parent	shipping	shipping	Shanghai Dingheng Shpg Co Ltd	shanghai dingheng shpg co ltd	1	loanbook
11	L118	C62	Hamburg Sudamerikanische	NA	NA	UP197	Nsb Niederelbe Schiffahrtsges	290585	EUR	19616865	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL13	direct_loantaker	shipping	shipping	Hamburg Sudamerikanische	hamburg sudamerikanische	1	loanbook
11	L118	C62	Hamburg Sudamerikanische	NA	NA	UP197	Nsb Niederelbe Schiffahrtsges	290585	EUR	19616865	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP60	ultimate_parent	shipping	shipping	Nsb Niederelbe Schiffahrtsges	nsb niederelbe schiffahrtsges	1	loanbook
12	L119	C63	Hamburger Lloyd	NA	NA	UP98	Foong Sun Shipping Pte Ltd	361113	EUR	20320473	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL14	direct_loantaker	shipping	shipping	Hamburger Lloyd	hamburger lloyd	1	loanbook
12	L119	C63	Hamburger Lloyd	NA	NA	UP98	Foong Sun Shipping Pte Ltd	361113	EUR	20320473	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP21	ultimate_parent	shipping	shipping	Foong Sun Shipping Pte Ltd	foong sun shipping pte ltd	1	loanbook
13	L120	C64	Hamer Balikcilik Ve Denizcilik	NA	NA	UP310	Zadeh Mk	262745	EUR	19339125	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL15	direct_loantaker	shipping	shipping	Hamer Balikcilik Ve Denizcilik	hamer balikcilik ve denizcilik	1	loanbook
13	L120	C64	Hamer Balikcilik Ve Denizcilik	NA	NA	UP310	Zadeh Mk	262745	EUR	19339125	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP99	ultimate_parent	shipping	shipping	Zadeh Mk	zadeh mk	1	loanbook
14	L121	C65	Hamidavi A	NA	NA	UP111	Grater Trading Inc	220985	EUR	18922515	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL16	direct_loantaker	shipping	shipping	Hamidavi A	hamidavi a	1	loanbook
14	L121	C65	Hamidavi A	NA	NA	UP111	Grater Trading Inc	220985	EUR	18922515	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP25	ultimate_parent	shipping	shipping	Grater Trading Inc	grater trading inc	1	loanbook
15	L122	C66	Hammann & Prahm Reederei Gmbh	NA	NA	UP177	Mayaka Owanga E	292441	EUR	19635381	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL17	direct_loantaker	shipping	shipping	Hammann & Prahm Reederei Gmbh	hammann & prahm reederei gmbh	1	loanbook
15	L122	C66	Hammann & Prahm Reederei Gmbh	NA	NA	UP177	Mayaka Owanga E	292441	EUR	19635381	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP53	ultimate_parent	shipping	shipping	Mayaka Owanga E	mayaka owanga e	1	loanbook
16	L123	C67	Hammonia Reederei Gmbh	NA	NA	UP205	Pasabahce Denizcilik Turizm	364825	EUR	20357505	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL18	direct_loantaker	shipping	shipping	Hammonia Reederei Gmbh	hammonia reederei gmbh	1	loanbook
16	L123	C67	Hammonia Reederei Gmbh	NA	NA	UP205	Pasabahce Denizcilik Turizm	364825	EUR	20357505	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP62	ultimate_parent	shipping	shipping	Pasabahce Denizcilik Turizm	pasabahce denizcilik turizm	1	loanbook
17	L124	C68	Hammy Distributors & Services	NA	NA	UP16	Alyzia Shipping Co	274809	EUR	19459479	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL19	direct_loantaker	shipping	shipping	Hammy Distributors & Services	hammy distributors & services	1	loanbook
17	L124	C68	Hammy Distributors & Services	NA	NA	UP16	Alyzia Shipping Co	274809	EUR	19459479	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP3	ultimate_parent	shipping	shipping	Alyzia Shipping Co	alyzia shipping co	1	loanbook
18	L125	C69	Hamza Engineering & Electric	NA	NA	UP314	Zhoushan Yongcheng Marine Co	244185	EUR	19153965	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL20	direct_loantaker	shipping	shipping	Hamza Engineering & Electric	hamza engineering & electric	1	loanbook
18	L125	C69	Hamza Engineering & Electric	NA	NA	UP314	Zhoushan Yongcheng Marine Co	244185	EUR	19153965	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP102	ultimate_parent	shipping	shipping	Zhoushan Yongcheng Marine Co	zhoushan yongcheng marine co	1	loanbook
19	L126	C70	Hamza Shipping Co	NA	NA	UP172	Mammiri Line Pt	302649	EUR	19737219	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL21	direct_loantaker	shipping	shipping	Hamza Shipping Co	hamza shipping co	1	loanbook
19	L126	C70	Hamza Shipping Co	NA	NA	UP172	Mammiri Line Pt	302649	EUR	19737219	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP50	ultimate_parent	shipping	shipping	Mammiri Line Pt	mammiri line pt	1	loanbook
20	L127	C71	Han Dong	NA	NA	UP222	Rosneft Jsc	365753	EUR	20366763	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL22	direct_loantaker	shipping	shipping	Han Dong	han dong	1	loanbook
20	L127	C71	Han Dong	NA	NA	UP222	Rosneft Jsc	365753	EUR	20366763	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP66	ultimate_parent	shipping	shipping	Rosneft Jsc	rosneft jsc	1	loanbook
21	L128	C72	Han Gang Tankers Inc	NA	NA	UP249	Simon Mokster Shipping As	287801	EUR	19589091	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL23	direct_loantaker	shipping	shipping	Han Gang Tankers Inc	han gang tankers inc	1	loanbook
21	L128	C72	Han Gang Tankers Inc	NA	NA	UP249	Simon Mokster Shipping As	287801	EUR	19589091	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP77	ultimate_parent	shipping	shipping	Simon Mokster Shipping As	simon mokster shipping as	1	loanbook
22	L129	C73	Han Il Shipping	NA	NA	UP311	Zhang Yf	394521	EUR	20653761	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL24	direct_loantaker	shipping	shipping	Han Il Shipping	han il shipping	1	loanbook
22	L129	C73	Han Il Shipping	NA	NA	UP311	Zhang Yf	394521	EUR	20653761	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP100	ultimate_parent	shipping	shipping	Zhang Yf	zhang yf	1	loanbook
23	L130	C74	Han Navigator Shipping Pte Ltd	NA	NA	UP155	Kartrade Oil Ltd	306361	EUR	19774251	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL25	direct_loantaker	shipping	shipping	Han Navigator Shipping Pte Ltd	han navigator shipping pte ltd	1	loanbook
23	L130	C74	Han Navigator Shipping Pte Ltd	NA	NA	UP155	Kartrade Oil Ltd	306361	EUR	19774251	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP42	ultimate_parent	shipping	shipping	Kartrade Oil Ltd	kartrade oil ltd	1	loanbook
24	L131	C75	Han Ren Heavylift Shipping Co	NA	NA	UP12	Akij Shipping Line Ltd	372249	EUR	20431569	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL26	direct_loantaker	shipping	shipping	Han Ren Heavylift Shipping Co	han ren heavylift shipping co	1	loanbook
24	L131	C75	Han Ren Heavylift Shipping Co	NA	NA	UP12	Akij Shipping Line Ltd	372249	EUR	20431569	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP2	ultimate_parent	shipping	shipping	Akij Shipping Line Ltd	akij shipping line ltd	1	loanbook
25	L132	C76	Han Ship Management Pte Ltd	NA	NA	UP291	Valour Offshore Marine Service	289657	EUR	19607607	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL27	direct_loantaker	shipping	shipping	Han Ship Management Pte Ltd	han ship management pte ltd	1	loanbook
25	L132	C76	Han Ship Management Pte Ltd	NA	NA	UP291	Valour Offshore Marine Service	289657	EUR	19607607	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP89	ultimate_parent	shipping	shipping	Valour Offshore Marine Service	valour offshore marine service	1	loanbook
26	L133	C77	Han Sung Line Co Ltd	NA	NA	UP55	China Shipping Bulk Carrier Co	248825	EUR	19200255	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL28	direct_loantaker	shipping	shipping	Han Sung Line Co Ltd	han sung line co ltd	1	loanbook
26	L133	C77	Han Sung Line Co Ltd	NA	NA	UP55	China Shipping Bulk Carrier Co	248825	EUR	19200255	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP12	ultimate_parent	shipping	shipping	China Shipping Bulk Carrier Co	china shipping bulk carrier co	1	loanbook
27	L134	C78	Hana Marine Co Ltd	NA	NA	UP167	Kurilskiy Rybak Jsc	326777	EUR	19977927	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL29	direct_loantaker	shipping	shipping	Hana Marine Co Ltd	hana marine co ltd	1	loanbook
27	L134	C78	Hana Marine Co Ltd	NA	NA	UP167	Kurilskiy Rybak Jsc	326777	EUR	19977927	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP47	ultimate_parent	shipping	shipping	Kurilskiy Rybak Jsc	kurilskiy rybak jsc	1	loanbook
28	L135	C79	Hanaro Shipping Co Ltd-Busan	NA	NA	UP24	Avin International Ltd	400089	EUR	20709309	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL30	direct_loantaker	shipping	shipping	Hanaro Shipping Co Ltd-Busan	hanaro shipping co ltd-busan	1	loanbook
29	L136	C80	Hanaro Shipping Co Ltd-Seoul	NA	NA	UP137	Ir-Bos Trans Ltd	247897	EUR	19190997	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL31	direct_loantaker	shipping	shipping	Hanaro Shipping Co Ltd-Seoul	hanaro shipping co ltd-seoul	1	loanbook
29	L136	C80	Hanaro Shipping Co Ltd-Seoul	NA	NA	UP137	Ir-Bos Trans Ltd	247897	EUR	19190997	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP35	ultimate_parent	shipping	shipping	Ir-Bos Trans Ltd	ir-bos trans ltd	1	loanbook
30	L137	C81	Handal Mutiara Pacific	NA	NA	UP75	Dan Xuan Shipping Co Ltd	259033	EUR	19302093	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL32	direct_loantaker	shipping	shipping	Handal Mutiara Pacific	handal mutiara pacific	1	loanbook
30	L137	C81	Handal Mutiara Pacific	NA	NA	UP75	Dan Xuan Shipping Co Ltd	259033	EUR	19302093	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP15	ultimate_parent	shipping	shipping	Dan Xuan Shipping Co Ltd	dan xuan shipping co ltd	1	loanbook
31	L138	C82	Handong Marine	NA	NA	UP101	Fujian Province Nan'An City	310073	EUR	19811283	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL33	direct_loantaker	shipping	shipping	Handong Marine	handong marine	1	loanbook
31	L138	C82	Handong Marine	NA	NA	UP101	Fujian Province Nan'An City	310073	EUR	19811283	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP22	ultimate_parent	shipping	shipping	Fujian Province Nan'An City	fujian province nan'an city	1	loanbook
32	L139	C83	Handong Shipbuilding Co Ltd	NA	NA	UP174	Manisa Bulk Uk Ltd	375961	EUR	20468601	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL34	direct_loantaker	shipping	shipping	Handong Shipbuilding Co Ltd	han sung line co ltd	0.8074828431372548	loanbook
32	L139	C83	Handong Shipbuilding Co Ltd	NA	NA	UP174	Manisa Bulk Uk Ltd	375961	EUR	20468601	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL34	direct_loantaker	shipping	shipping	Handong Shipbuilding Co Ltd	handong marine	0.8104615384615385	loanbook
32	L139	C83	Handong Shipbuilding Co Ltd	NA	NA	UP174	Manisa Bulk Uk Ltd	375961	EUR	20468601	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL34	direct_loantaker	shipping	shipping	Handong Shipbuilding Co Ltd	han dong	0.856	loanbook
32	L139	C83	Handong Shipbuilding Co Ltd	NA	NA	UP174	Manisa Bulk Uk Ltd	375961	EUR	20468601	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP51	ultimate_parent	shipping	shipping	Manisa Bulk Uk Ltd	manisa bulk uk ltd	1	loanbook
33	L140	C84	Handytankers K/S	NA	NA	UP273	Thanh Trung Transport Co Ltd	299865	EUR	19709445	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL35	direct_loantaker	shipping	shipping	Handytankers K/S	handytankers k/s	1	loanbook
33	L140	C84	Handytankers K/S	NA	NA	UP273	Thanh Trung Transport Co Ltd	299865	EUR	19709445	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP82	ultimate_parent	shipping	shipping	Thanh Trung Transport Co Ltd	thanh trung transport co ltd	1	loanbook
34	L141	C85	Hanei Kaiun	NA	NA	UP228	Sampaguita Shipping Corp	190361	EUR	18617001	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL36	direct_loantaker	shipping	shipping	Hanei Kaiun	hanei kaiun	1	loanbook
34	L141	C85	Hanei Kaiun	NA	NA	UP228	Sampaguita Shipping Corp	190361	EUR	18617001	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP68	ultimate_parent	shipping	shipping	Sampaguita Shipping Corp	sampaguita shipping corp	1	loanbook
35	L142	C86	Hang Hai Co Ltd	NA	NA	UP4	Africon Shipping Sa	318425	EUR	19894605	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL37	direct_loantaker	shipping	shipping	Hang Hai Co Ltd	hang hai co ltd	1	loanbook
35	L142	C86	Hang Hai Co Ltd	NA	NA	UP4	Africon Shipping Sa	318425	EUR	19894605	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP1	ultimate_parent	shipping	shipping	Africon Shipping Sa	africon shipping sa	1	loanbook
36	L143	C87	Hang Woo Ship Management Ltd	NA	NA	UP239	Sea-Cargo As	385241	EUR	20561181	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL38	direct_loantaker	shipping	shipping	Hang Woo Ship Management Ltd	hang woo ship management ltd	1	loanbook
36	L143	C87	Hang Woo Ship Management Ltd	NA	NA	UP239	Sea-Cargo As	385241	EUR	20561181	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP73	ultimate_parent	shipping	shipping	Sea-Cargo As	sea-cargo as	1	loanbook
37	L144	C88	Hangli Shipping Pte Ltd	NA	NA	UP308	Yu Xing Shipping Ltd	313785	EUR	19848315	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL39	direct_loantaker	shipping	shipping	Hangli Shipping Pte Ltd	hangli shipping pte ltd	1	loanbook
37	L144	C88	Hangli Shipping Pte Ltd	NA	NA	UP308	Yu Xing Shipping Ltd	313785	EUR	19848315	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP97	ultimate_parent	shipping	shipping	Yu Xing Shipping Ltd	yu xing shipping ltd	1	loanbook
38	L145	C89	Hanil Express Co Ltd	NA	NA	UP157	Katsumaru Kaiun	214489	EUR	18857709	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL40	direct_loantaker	shipping	shipping	Hanil Express Co Ltd	hanjin overseas bulk ltd	0.80496632996633	loanbook
38	L145	C89	Hanil Express Co Ltd	NA	NA	UP157	Katsumaru Kaiun	214489	EUR	18857709	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL40	direct_loantaker	shipping	shipping	Hanil Express Co Ltd	han il shipping	0.8242063492063492	loanbook
38	L145	C89	Hanil Express Co Ltd	NA	NA	UP157	Katsumaru Kaiun	214489	EUR	18857709	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL40	direct_loantaker	shipping	shipping	Hanil Express Co Ltd	hanjin shipping co ltd	0.8269444444444445	loanbook
38	L145	C89	Hanil Express Co Ltd	NA	NA	UP157	Katsumaru Kaiun	214489	EUR	18857709	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL40	direct_loantaker	shipping	shipping	Hanil Express Co Ltd	hana marine co ltd	0.8347222222222221	loanbook
38	L145	C89	Hanil Express Co Ltd	NA	NA	UP157	Katsumaru Kaiun	214489	EUR	18857709	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL40	direct_loantaker	shipping	shipping	Hanil Express Co Ltd	hanison	0.8380952380952381	loanbook
38	L145	C89	Hanil Express Co Ltd	NA	NA	UP157	Katsumaru Kaiun	214489	EUR	18857709	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL40	direct_loantaker	shipping	shipping	Hanil Express Co Ltd	han sung line co ltd	0.8533601474777945	loanbook
38	L145	C89	Hanil Express Co Ltd	NA	NA	UP157	Katsumaru Kaiun	214489	EUR	18857709	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP43	ultimate_parent	shipping	shipping	Katsumaru Kaiun	katsumaru kaiun	1	loanbook
39	L146	C90	Hanison	NA	NA	UP210	Picnic Marine Co Ltd	322137	EUR	19931637	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL41	direct_loantaker	shipping	shipping	Hanison	hanison	1	loanbook
39	L146	C90	Hanison	NA	NA	UP210	Picnic Marine Co Ltd	322137	EUR	19931637	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP64	ultimate_parent	shipping	shipping	Picnic Marine Co Ltd	picnic marine co ltd	1	loanbook
40	L147	C91	Hanjin Heavy Industries & Cons	NA	NA	UP165	Kuang Ming (Liberia) Corp	390809	EUR	20616729	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL42	direct_loantaker	shipping	shipping	Hanjin Heavy Industries & Cons	hanjin overseas bulk ltd	0.8109545454545454	loanbook
40	L147	C91	Hanjin Heavy Industries & Cons	NA	NA	UP165	Kuang Ming (Liberia) Corp	390809	EUR	20616729	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP46	ultimate_parent	shipping	shipping	Kuang Ming (Liberia) Corp	kuang ming (liberia) corp	1	loanbook
41	L148	C92	Hanjin Overseas Bulk Ltd	NA	NA	UP162	Korea Uljibong Shipping Co	317497	EUR	19885347	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL43	direct_loantaker	shipping	shipping	Hanjin Overseas Bulk Ltd	hanjin overseas bulk ltd	1	loanbook
41	L148	C92	Hanjin Overseas Bulk Ltd	NA	NA	UP162	Korea Uljibong Shipping Co	317497	EUR	19885347	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP45	ultimate_parent	shipping	shipping	Korea Uljibong Shipping Co	korea uljibong shipping co	1	loanbook
42	L149	C93	Hanjin Overseas Tanker Pte Ltd	NA	NA	UP108	Giant Shipping Lines	218201	EUR	18894741	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL44	direct_loantaker	shipping	shipping	Hanjin Overseas Tanker Pte Ltd	hanjin overseas tanker pte ltd	1	loanbook
42	L149	C93	Hanjin Overseas Tanker Pte Ltd	NA	NA	UP108	Giant Shipping Lines	218201	EUR	18894741	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP24	ultimate_parent	shipping	shipping	Giant Shipping Lines	giant shipping lines	1	loanbook
43	L150	C94	Hanjin Shipping Co Ltd	NA	NA	UP179	Mentari Surya Pradana Pt	323993	EUR	19950153	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL45	direct_loantaker	shipping	shipping	Hanjin Shipping Co Ltd	hanjin shipping co ltd	1	loanbook
43	L150	C94	Hanjin Shipping Co Ltd	NA	NA	UP179	Mentari Surya Pradana Pt	323993	EUR	19950153	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP54	ultimate_parent	shipping	shipping	Mentari Surya Pradana Pt	mentari surya pradana pt	1	loanbook
44	L151	C168	Shaanxi Auto	NA	NA	UP318	Zoox	396377	EUR	20672277	EUR	"NACE"	Code	291	Loan	No	NA	NA	NA	2	DL53	direct_loantaker	automotive	automotive	Shaanxi Auto	shaanxi auto	1	loanbook
44	L151	C168	Shaanxi Auto	NA	NA	UP318	Zoox	396377	EUR	20672277	EUR	"NACE"	Code	291	Loan	No	NA	NA	NA	2	UP105	ultimate_parent	automotive	automotive	Zoox	zoox	1	loanbook
45	L152	C169	Shandong Auto	NA	NA	UP242	Shandong Kama	319353	EUR	19903863	EUR	"NACE"	Code	291	Loan	No	NA	NA	NA	2	DL54	direct_loantaker	automotive	automotive	Shandong Auto	shandong auto	1	loanbook
45	L152	C169	Shandong Auto	NA	NA	UP242	Shandong Kama	319353	EUR	19903863	EUR	"NACE"	Code	291	Loan	No	NA	NA	NA	2	UP74	ultimate_parent	automotive	automotive	Shandong Kama	shandong kama	1	loanbook
