rowid	id_ultimate_parent	name_ultimate_parent	id_direct_loantaker	name_direct_loantaker	sector_classification_system	sector_classification_direct_loantaker	chunk	id_2dii	level	sector	sector_ald	name	name_ald	score	source
22	UP187	Mr. Lay Se.	C285	Ytl Corp Bhd	"NACE"	3511	1	UP23	ultimate_parent	power	power	Mr. Lay Se.	mr. lay se.	1	loanbook
22	UP187	Mr. Lay Se.	C285	Ytl Corp Bhd	"NACE"	3511	1	DL13	direct_loantaker	power	power	Ytl Corp Bhd	ytl corp bhd	1	loanbook
23	UP297	Wallenstam Vindkraft Nyckeltorp Ab	C283	Ypic International Energy Cooperation & Development Company	"NACE"	3511	1	UP32	ultimate_parent	power	power	Wallenstam Vindkraft Nyckeltorp Ab	wallenstam vindkraft nyckeltorp ab	1	loanbook
23	UP297	Wallenstam Vindkraft Nyckeltorp Ab	C283	Ypic International Energy Cooperation & Development Company	"NACE"	3511	1	DL11	direct_loantaker	power	power	Ypic International Energy Cooperation & Development Company	ypic international energy cooperation & development company	1	loanbook
24	UP209	Phoenix Energy	C282	Ypfb Corporacion	"NACE"	3511	1	DL10	direct_loantaker	power	power	Ypfb Corporacion	ypfb corporacion	1	loanbook
25	UP296	Viridian Energy Supply	C281	Ypf Sa	"NACE"	3511	1	UP31	ultimate_parent	power	power	Viridian Energy Supply	viridian energy supply	1	loanbook
25	UP296	Viridian Energy Supply	C281	Ypf Sa	"NACE"	3511	1	DL9	direct_loantaker	power	power	Ypf Sa	ypf sa	1	loanbook
26	UP67	Coast Intelligen, Inc	C280	Ypf Energia Electrica Sa	"NACE"	3511	1	UP11	ultimate_parent	power	power	Coast Intelligen, Inc	coast intelligen, inc	1	loanbook
26	UP67	Coast Intelligen, Inc	C280	Ypf Energia Electrica Sa	"NACE"	3511	1	DL8	direct_loantaker	power	power	Ypf Energia Electrica Sa	ypf energia electrica sa	1	loanbook
27	UP45	Ce Energy Holding Ag	C278	Younicos Ag	"NACE"	3511	1	UP8	ultimate_parent	power	power	Ce Energy Holding Ag	ce energy holding ag	1	loanbook
27	UP45	Ce Energy Holding Ag	C278	Younicos Ag	"NACE"	3511	1	DL7	direct_loantaker	power	power	Younicos Ag	younicos ag	1	loanbook
28	UP195	Northstone Power Corp.	C276	Youngduk Wind Power Co., Ltd.	"NACE"	3511	1	UP25	ultimate_parent	power	power	Northstone Power Corp.	northstone power corp.	1	loanbook
28	UP195	Northstone Power Corp.	C276	Youngduk Wind Power Co., Ltd.	"NACE"	3511	1	DL6	direct_loantaker	power	power	Youngduk Wind Power Co., Ltd.	youngduk wind power co., ltd.	1	loanbook
29	UP246	Shivnath Rai Harnarain (India) Ltd.	C275	Younas Brothers Group	"NACE"	3511	1	UP28	ultimate_parent	power	power	Shivnath Rai Harnarain (India) Ltd.	shivnath rai harnarain (india) ltd.	1	loanbook
29	UP246	Shivnath Rai Harnarain (India) Ltd.	C275	Younas Brothers Group	"NACE"	3511	1	DL5	direct_loantaker	power	power	Younas Brothers Group	younas brothers group	1	loanbook
30	UP33	Bhushan Energy Ltd.	C274	Yosemite Unified School District	"NACE"	3511	1	UP6	ultimate_parent	power	power	Bhushan Energy Ltd.	bhagwan energy ltd.	0.9058823529411765	loanbook
30	UP33	Bhushan Energy Ltd.	C274	Yosemite Unified School District	"NACE"	3511	1	DL4	direct_loantaker	power	power	Yosemite Unified School District	yosemite unified school district	1	loanbook
31	UP5	Agni Steels Private Limited	C273	Yorkshire Windpower Limited	"NACE"	3511	1	UP2	ultimate_parent	power	power	Agni Steels Private Limited	agni steels private limited	1	loanbook
31	UP5	Agni Steels Private Limited	C273	Yorkshire Windpower Limited	"NACE"	3511	1	DL3	direct_loantaker	power	power	Yorkshire Windpower Limited	yorkshire windpower limited	1	loanbook
32	UP190	Nagpur Tools Pvt. Ltd.	C272	Yorkshire Water Services Ltd	"NACE"	3511	1	UP24	ultimate_parent	power	power	Nagpur Tools Pvt. Ltd.	nagpur tools pvt. ltd.	1	loanbook
32	UP190	Nagpur Tools Pvt. Ltd.	C272	Yorkshire Water Services Ltd	"NACE"	3511	1	DL2	direct_loantaker	power	power	Yorkshire Water Services Ltd	yorkshire water services ltd	1	loanbook
